Ticker,Avg Abs Change (%),Avg Net Change (%),Std Dev Change (%),Earnings Count
KHC,2.473333333333333,-1.455,2.8529808972371336,12
MAR,2.4491666666666667,-0.42583333333333323,3.0345599001962027,12
TROW,2.438333333333333,0.7983333333333333,3.29956149519994,12
CL,2.3925,0.23416666666666666,3.0236385616530215,12
MET,2.3891666666666667,-0.8841666666666667,3.283707600572957,12
HSY,2.3850000000000002,0.4433333333333333,3.2494848076505165,12
DVN,2.3608333333333333,0.3075,3.0596765277632625,12
V,2.3545454545454545,0.7018181818181817,3.4334030295956173,11
KEY,2.339166666666667,-1.2475,2.384011611472638,12
VLTO,2.33,0.6736363636363637,3.0894668560360787,11
ALL,2.3183333333333334,1.8166666666666667,1.8578253824068482,12
GS,2.31,1.0533333333333335,2.7621083295632025,12
KR,2.3008333333333333,0.11250000000000003,2.7798630607214516,12
ARE,2.2972727272727274,-1.5463636363636366,3.370528957677928,11
ITW,2.289166666666667,-0.8525,2.6995963502985876,12
MPC,2.2791666666666663,0.20583333333333334,3.3482165085129703,12
BX,2.2716666666666665,0.23833333333333337,2.7555888113014424,12
SRE,2.2575,-1.0308333333333335,5.119606622553825,12
RJF,2.2383333333333333,0.9933333333333333,2.6673218892001134,12
INCY,2.235,-0.05999999999999998,2.8574655012631545,12
AJG,2.231666666666667,0.14666666666666653,3.1984551195092847,12
BXP,2.231666666666667,-1.8016666666666667,2.2414477193965237,12
SYY,2.2266666666666666,-0.7816666666666666,2.527020643630228,12
KO,2.2263636363636365,0.8954545454545454,2.7850758109479306,11
KKR,2.225,0.6883333333333334,2.944714319631435,12
ACGL,2.2199999999999998,0.2563636363636363,2.640042699379208,11
NWSA,2.2175,1.0825,3.4949161129222595,12
EA,2.2125,0.6891666666666666,2.8421933218533675,12
HD,2.19,0.10666666666666678,2.6846172347226145,12
EQT,2.1858333333333335,0.03250000000000005,2.5424259173975052,12
SYK,2.1458333333333335,0.5575,3.139125891651426,12
TKO,2.1445454545454545,0.41545454545454547,2.624371786299965,11
BNY,2.1008333333333336,0.6525,2.4994367547327716,12
FITB,2.0825,1.2808333333333333,2.5035809202505166,12
CB,2.0691666666666664,-0.2758333333333333,2.2570916859507233,12
BEN,2.0691666666666664,0.7941666666666666,2.2866309410584953,12
CFG,2.0625,-0.017499999999999922,2.546438243365177,12
INVH,2.0518181818181818,-1.2481818181818183,2.7335098982144483,11
HBAN,2.0475,-0.4575,2.608768866726219,12
PNC,2.0408333333333335,-0.5558333333333333,2.976017651259155,12
BIIB,2.0345454545454547,-0.07272727272727277,2.866377821952615,11
LYB,2.03,0.3016666666666666,2.6721657315686276,12
PSA,2.029166666666667,0.2541666666666667,2.4042933504777477,12
ICE,2.013333333333333,-0.525,2.517677501190333,12
OMC,2.0072727272727273,0.14727272727272722,2.8751629202850086,11
PLD,2.0016666666666665,0.7633333333333333,2.380203709132833,12
APA,2.0,0.5116666666666666,2.818161339124027,12
YUM,1.9908333333333335,0.7658333333333335,2.6597589034050477,12
NDAQ,1.9841666666666669,0.4975,2.2636018160927027,12
CME,1.9683333333333335,-0.48666666666666664,2.394468372703801,12
EOG,1.9666666666666666,-0.05500000000000005,2.6311991735535893,12
DOC,1.9608333333333334,0.24916666666666668,2.4566401976288796,12
IRM,1.9308333333333334,0.6258333333333334,2.23570797545546,12
WELL,1.929166666666667,1.6341666666666665,1.5014566159889438,12
VTR,1.9008333333333332,-0.32249999999999995,2.59108655692058,12
ETR,1.8933333333333333,0.8833333333333334,2.303208565668706,12
AXP,1.8625,-0.8825,2.2471441471747684,12
TFC,1.8399999999999999,0.04833333333333332,2.223996539129638,12
AIG,1.8216666666666665,0.6716666666666665,2.223734914439437,12
MTB,1.8166666666666667,1.2833333333333334,2.400876102718768,12
PEP,1.8083333333333333,-0.2583333333333333,2.3379588352132115,12
SLB,1.805,0.4583333333333333,2.381813034923886,12
USB,1.7941666666666667,-0.4025,2.5037939393866044,12
VLO,1.7916666666666667,0.59,2.1750694868732983,12
MA,1.7758333333333332,0.16749999999999995,2.2421666672297946,12
NEE,1.7625,1.2758333333333334,2.0174667208400168,12
C,1.7608333333333333,1.2825,1.6135794484200758,12
